x,y,z
-0.249862777,-0.48018978,1.22719
1.519167223,-0.50521978,1.18216
0.668687223,-0.51459978,1.04972
1.160157223,-0.53968978,0.96755
2.358277223,-0.53406978,1.0521
2.392917223,-0.37120978,0.66579
0.868917223,0.19805022,1.702813
0.822437223,-0.15479978,1.772304
1.653367223,0.96826022,1.16097
1.298727223,-0.26405978,1.754023
1.878287223,-0.29301978,1.729977
0.191237223,-0.53239978,0.8807
2.195037223,0.32511022,1.793004
0.637977223,-0.50452978,0.47761
2.228437223,-0.58735978,0.37718
1.939247223,-0.58385978,0.11837
-0.252812777,-0.44836978,1.22142
1.444037223,-0.50226978,1.19919
0.592327223,-0.52404978,1.07252
1.100297223,-0.53275978,0.98314
2.285207223,-0.52109978,1.06756
1.900977223,-0.55122978,0.82442
2.765377223,-0.55589978,0.65599
0.873207223,-0.08127978,1.758304
1.650937223,1.01947022,1.15432
1.238277223,-0.25782978,1.762011
1.797207223,-0.29052978,1.740847
0.150347223,-0.52481978,0.89233
2.376717223,-0.31277978,1.38046
2.175247223,0.36278022,1.792715
0.518757223,-0.54085978,0.53077
2.179887223,-0.56471978,0.39006
1.903327223,-0.55798978,0.12763
-0.065142777,-0.40542978,1.40598
-0.254542777,-0.41531978,1.215
1.391517223,-0.48873978,1.20971
0.547037223,-0.51539978,1.08361
1.038857223,-0.52738978,0.99933
2.182047223,-0.52228978,1.09123
1.704637223,-0.60055978,0.88485
2.604907223,-0.57297978,0.70155
0.847727223,-0.05727978,1.759638
1.648077223,1.07081022,1.14768
0.154107223,-0.39771978,1.64592
1.169457223,-0.25724978,1.771597
1.730387223,-0.28170978,1.749301
0.090967223,-0.53014978,0.91267
1.231857223,-0.54688978,0.63487
2.180627223,0.41568022,1.788091
0.437467223,-0.55534978,0.56459
2.105467223,-0.55399978,0.4131
1.771957223,-0.57684978,0.18086
-0.083532777,-0.38410978,1.40652
-0.318632777,-0.43193978,1.23553
1.378597223,-0.45532978,1.20871
0.513107223,-0.50015978,1.09039
0.962477223,-0.53092978,1.02091
2.095067223,-0.51750978,1.11055
1.650927223,-0.58499978,0.89764
2.485837223,-0.57541978,0.73418
1.696037223,0.95837022,1.50814
0.894047223,0.01506022,1.746305
0.240837223,-0.30058978,1.61783
1.127917223,-0.24120978,1.776071
1.658407223,-0.27635978,1.758661
0.041037223,-0.52980978,0.92865
1.175967223,-0.53705978,0.65158
2.153507223,0.44915022,1.788958
0.406067223,-0.53947978,0.57265
2.115237223,-0.50630978,0.40293
1.674397223,-0.58146978,0.21867
-0.121842777,-0.37820978,1.41418
-0.326492777,-0.40388978,1.23168
0.447007223,-0.50560978,1.1095
0.916357223,-0.51865978,1.0317
1.999427223,-0.51774978,1.13228
1.590347223,-0.57333978,0.91274
2.324457223,-0.59679978,0.7803
1.637777223,0.96665022,1.51535
0.898937223,0.06026022,1.741305
0.202677223,-0.29096978,1.62345
1.091437223,-0.22250978,1.779585
1.597047223,-0.26624978,1.766209
-0.005672777,-0.52787978,0.94318
2.621597223,-0.44542978,1.40962
1.120137223,-0.52783978,0.66829
2.085827223,0.45739022,1.796761
0.334537223,-0.54956978,0.60164
2.446057223,0.40115022,1.791149
1.862827223,-0.57811978,0.49647
